order_id,customer_id,product_id,quantity,amount,order_date
1001,1,101,2,51.98,2025-05-01
1002,2,103,1,249.99,2025-05-02
1003,1,105,3,45.00,2025-05-03
1004,3,102,1,89.99,2025-05-04
1005,4,107,1,199.99,2025-05-05
1006,5,108,1,450.00,2025-05-06
1007,2,106,2,99.98,2025-05-07
1008,6,104,1,34.50,2025-05-08
1009,7,101,1,25.99,2025-05-09
1010,8,110,4,50.00,2025-05-10
1011,9,102,1,89.99,2025-05-11
1012,10,109,5,29.95,2025-05-12
1013,3,106,1,49.99,2025-05-13
1014,4,105,2,30.00,2025-05-14
1015,5,101,2,51.98,2025-05-15
1016,1,102,1,89.99,2025-05-16
1017,2,104,2,69.00,2025-05-17
1018,6,107,1,199.99,2025-05-18
1019,7,103,1,249.99,2025-05-19
1020,8,108,1,450.00,2025-05-20
